1000 2502 
369 105 1 
369 362 1 
369 804 1 
369 895 1 
369 928 1 
369 313 1 
369 426 1 
105 230 1 
105 256 1 
105 646 1 
105 232 1 
105 455 1 
362 963 1 
362 16 1 
362 725 1 
362 874 1 
362 880 1 
362 696 1 
362 21 1 
804 206 1 
804 388 1 
804 545 1 
804 702 1 
804 623 1 
895 809 1 
895 11 1 
895 383 1 
895 366 1 
895 72 1 
895 343 1 
895 60 1 
230 453 1 
230 405 1 
230 123 1 
230 742 1 
230 951 1 
230 630 1 
230 571 1 
230 59 1 
230 763 1 
206 7 1 
206 30 1 
206 189 1 
206 738 1 
206 271 1 
256 909 1 
256 720 1 
256 303 1 
256 971 1 
256 765 1 
256 847 1 
256 866 1 
256 990 1 
256 629 1 
256 676 1 
453 710 1 
453 297 1 
453 834 1 
453 575 1 
453 777 1 
453 879 1 
388 469 1 
388 731 1 
388 299 1 
388 961 1 
388 874 1 
388 987 1 
388 655 1 
809 631 1 
809 3 1 
809 472 1 
809 285 1 
809 839 1 
809 452 1 
809 853 1 
809 171 1 
809 73 1 
809 677 1 
909 219 1 
909 865 1 
909 1 1 
909 296 1 
909 802 1 
909 213 1 
909 275 1 
7 953 1 
545 72 1 
953 641 1 
953 643 1 
953 838 1 
469 729 1 
469 461 1 
469 399 1 
469 588 1 
469 703 1 
469 276 1 
469 368 1 
731 755 1 
731 40 1 
731 654 1 
731 800 1 
731 592 1 
963 396 1 
963 42 1 
963 513 1 
963 490 1 
963 981 1 
11 878 1 
11 675 1 
11 567 1 
405 718 1 
405 736 1 
405 906 1 
405 534 1 
405 337 1 
405 586 1 
720 949 1 
720 171 1 
720 525 1 
720 699 1 
303 552 1 
303 347 1 
303 774 1 
303 735 1 
303 577 1 
303 861 1 
303 281 1 
303 892 1 
303 598 1 
303 188 1 
303 168 1 
729 925 1 
729 764 1 
729 384 1 
729 744 1 
729 439 1 
552 577 1 
552 857 1 
552 408 1 
552 536 1 
552 650 1 
347 37 1 
347 932 1 
347 164 1 
347 424 1 
219 125 1 
219 709 1 
219 322 1 
219 814 1 
219 825 1 
774 582 1 
774 175 1 
774 922 1 
774 612 1 
774 66 1 
631 569 1 
631 202 1 
631 315 1 
631 157 1 
631 244 1 
631 413 1 
631 685 1 
631 228 1 
631 501 1 
631 954 1 
631 661 1 
125 465 1 
125 841 1 
125 730 1 
125 541 1 
125 989 1 
125 87 1 
383 821 1 
735 527 1 
735 6 1 
735 167 1 
735 664 1 
735 441 1 
735 418 1 
569 243 1 
569 537 1 
569 12 1 
569 38 1 
569 726 1 
569 745 1 
569 797 1 
577 266 1 
577 662 1 
577 187 1 
577 982 1 
577 589 1 
577 128 1 
577 945 1 
37 462 1 
37 657 1 
37 267 1 
37 968 1 
37 533 1 
37 586 1 
396 212 1 
396 789 1 
396 209 1 
396 41 1 
396 999 1 
396 301 1 
641 429 1 
641 449 1 
641 618 1 
641 822 1 
641 78 1 
641 549 1 
641 497 1 
42 632 1 
42 514 1 
42 274 1 
42 589 1 
42 355 1 
42 996 1 
42 197 1 
865 734 1 
16 395 1 
16 660 1 
16 235 1 
16 252 1 
16 338 1 
3 123 1 
3 352 1 
3 659 1 
3 933 1 
462 734 1 
462 617 1 
462 506 1 
462 500 1 
462 691 1 
462 850 1 
878 597 1 
878 857 1 
878 834 1 
878 287 1 
878 733 1 
429 960 1 
429 516 1 
429 339 1 
429 980 1 
429 830 1 
202 555 1 
202 400 1 
202 606 1 
202 583 1 
657 237 1 
657 460 1 
657 364 1 
657 208 1 
657 967 1 
657 353 1 
657 931 1 
465 176 1 
465 20 1 
465 551 1 
465 596 1 
465 302 1 
555 911 1 
555 234 1 
555 820 1 
555 903 1 
555 946 1 
555 165 1 
555 305 1 
123 688 1 
123 160 1 
123 823 1 
597 587 1 
597 725 1 
597 618 1 
597 614 1 
718 63 1 
718 547 1 
472 366 1 
472 112 1 
472 241 1 
472 702 1 
299 120 1 
299 656 1 
299 0 1 
243 762 1 
243 622 1 
243 205 1 
243 149 1 
243 550 1 
243 381 1 
243 480 1 
243 549 1 
266 131 1 
266 943 1 
266 807 1 
266 270 1 
266 265 1 
857 278 1 
857 901 1 
857 316 1 
857 174 1 
857 277 1 
857 935 1 
632 296 1 
632 500 1 
632 871 1 
632 295 1 
632 924 1 
632 430 1 
267 662 1 
734 487 1 
734 440 1 
734 992 1 
736 487 1 
736 849 1 
736 355 1 
352 469 1 
352 460 1 
352 164 1 
352 247 1 
352 612 1 
278 468 1 
278 768 1 
278 985 1 
278 447 1 
278 654 1 
278 370 1 
537 483 1 
537 672 1 
537 678 1 
537 886 1 
537 738 1 
537 201 1 
906 106 1 
906 925 1 
906 992 1 
906 444 1 
906 794 1 
906 290 1 
906 619 1 
662 972 1 
662 871 1 
662 255 1 
662 515 1 
483 516 1 
483 375 1 
483 568 1 
483 567 1 
1 516 1 
1 546 1 
1 724 1 
688 698 1 
688 172 1 
688 833 1 
709 257 1 
709 653 1 
709 845 1 
709 109 1 
709 902 1 
928 881 1 
928 584 1 
928 594 1 
961 281 1 
961 938 1 
961 69 1 
237 512 1 
237 141 1 
322 728 1 
322 428 1 
322 518 1 
322 531 1 
617 905 1 
617 17 1 
617 867 1 
617 44 1 
617 253 1 
617 945 1 
659 514 1 
659 675 1 
659 610 1 
659 119 1 
905 354 1 
905 670 1 
905 919 1 
905 707 1 
905 410 1 
315 115 1 
315 966 1 
315 755 1 
315 976 1 
315 859 1 
315 727 1 
187 122 1 
187 64 1 
187 956 1 
187 499 1 
187 592 1 
710 296 1 
710 100 1 
710 743 1 
710 643 1 
710 409 1 
296 551 1 
296 722 1 
296 416 1 
742 48 1 
742 573 1 
